序号,秘 密 事 项,密 级,保密期限,标密部门,知悉范围,涉密岗位,相关文件或材料,报送方向 ,报送频率及形式,标注方式
13,中长期电网发展规划图（图集）,核心商密,5年,发展部,公司负责人和相关人员,部门主任、输电网规划、配电网规划、项目前期,图集,省公司、政府,视情况而定,核心商密·5年
14,综合计划,普通商密,3年,发展部,公司负责人、相关部门负责人及相关工作人员，各单位负责人及相关工作人员,综合计划,"综合计划建议上报
综合计划分解下达","省公司
公司各单位","频率为年度，
协同办公系统和纸质文件",普通商密·3年
15,公司生产、投资及综合类统计月报、年报,工作秘密,1年,发展部,所对应的发布范围,综合统计,"月度电量报表
月度简报
用电周报
生产年报
投资年报","省公司
政府部门","频率根据表格性质而定
报送省公司形势为一套表系统
报送政府部门形势为电子邮件",内部资料·1年
16,年度财务预算报告、财务专项检查报告、财务稽核报告,核心商密,3年,财务部,公司负责人和相关人员,公司分管领导、财务部分管主任、相关专职,预算报告、专项检查报告、财务稽核报告,省公司,视情况而定，协同办公系统,核心商密·3年
17,年度财务工作报告,普通商密,5年,财务部,公司负责人和相关人员,公司分管领导、财务部分管主任、相关专职,财务工作报告,省公司,视情况而定，协同办公系统,普通商密·5年
18,会计凭证、账簿、未公开的财务报表及相关电子数据,工作秘密,5年,财务部,财务及相关工作人员,财务部分管主任、全体财务专职,会计凭证、账簿、未公开的财务报表及相关电子数据,无,无,内部资料·5年
19,工程项目竣工决算及审核报告,工作秘密,5年,财务部,相关工作人员,财务部分管主任、相关专职,竣工决算及相关报告,无,无,内部资料·5年
20,电网、设备和人身等事故调查报告,工作秘密,2年,安质部、运检部、调控中心、建设部,公司负责人、 相关部门负责人及相关工作人员,公司分管领导、安质部、运检部、调控中心、建设部主任、事故调查专职、事件责任单位相关知悉人员,文件,省公司,视情况而定，安监一体化平台,内部资料·2年
21,事故统计分析表,工作秘密,2年,安质部,公司负责人、 相关部门负责人及相关工作人员,公司分管领导、安质部主任、事故统计专职,文件,省公司,视情况而定，安监一体化平台,内部资料·2年
22,重要变电站、调度大楼等重要场所防恐工作预案,工作秘密,长期,安质部,相关工作人员,公司分管领导、安质部主任、消防保卫专职,文件,省公司,视情况而定，协同办公系统,内部资料
23,突发事件应急预案和现场处置方案,工作秘密,5年,安质部,相关工作人员,公司分管领导、安质部主任、应急专职、预案涉及单位的主要负责人、相关知悉人员,文件,省公司,视情况而定，协同办公系统,内部资料
24,重要设备故障处理会议纪要,普通商密,3年,运检部,相关工作人员,公司分管领导、运检部主任及分管副主任，技改大修专职、配网工程专职及输变配专业专职,设备故障分析报告,公司领导,视情况而定，协同办公系统,普通商密·3年
25,年度、半年度设备运行工作总结,普通商密,3年,运检部,相关工作人员,公司分管领导、运检部主任及分管副主任，技改大修专职、配网工程专职及输变配专业专职,工作总结,公司领导,视情况而定，协同办公系统,普通商密·3年
26,年度修理、技改、配网项目计划、项目储备,工作秘密,3年,运检部,相关工作人员,公司分管领导、运检部主任及分管副主任，技改大修专职、配网工程专职及输变配专业专职,项目储备需求表、项目建议书及项目可研报告,省公司,视情况而定，协同办公系统,内部资料·2年
27,变电站、线路报废计划,工作秘密,3年,运检部、发展部,相关工作人员,资产专职及输变配专业专职,省公司批复文件,省公司,视情况而定,内部资料·3年
28,居配项目、业扩接入项目计划,工作秘密,3年,运检部,相关工作人员,运检部主任及分管副主任，配网工程专职及配电运检专职,居配项目、业扩接入项目方案,公司领导,视情况而定，协同办公系统,内部资料·3年
29,输、变、配电系统接线图,工作秘密,3年,运检部,相关工作人员,公司分管领导、运检部主任及分管副主任，技改大修专职、配网工程专职及输变配专业专职,输、变、配电系统接线图,公司各生产单位,视情况而定,内部资料·3年
30,公司营销中长期专项发展规划,核心商密,到期后2年,营销部,公司负责人及本部相关工作人员，公司各单位负责人及部门相关人员,公司相关领导、相关部门负责人和人员,营销发展规划,上级单位、下级单位,年度，协同办公,核心商密
31,用电信息密钥,核心商密,长期,营销部,相关工作人员,各营销业务应用系统应用人员,省公司相关管理办法及工作要求,省公司,视情况而定，根据省公司工作要求,核心商密
32,营销经营重要指标,普通商密,视具体情况确定,营销部,相关工作人员,公司相关领导、相关部门负责人和人员,营销经营重要指标报表,上级单位、下级单位,年度，协同办公,普通商密
33,用电信息密钥管理办法,普通商密,长期,营销部,相关工作人员,各营销业务应用系统应用人员,省公司相关管理办法及工作要求,省公司,视情况而定，根据省公司工作要求,普通商密
34,尚未公布的电力销售情况、电力销售市场分析的报告及资料,工作秘密,公布之日,营销部,相关工作人员,电费专职、电费核算员,系统报表、文字材料,省公司,视省公司要求,内部资料
35,重大计量故障、差错的调查、统计、分析资料,工作秘密,视具体情况确定,营销部,相关工作人员,计量室负责人、装接人员,无,无,无,内部资料
36,涉及农电队伍稳定情况及分析材料,工作秘密,视具体情况确定,营销部,公司负责人、 相关部门负责人及相关工作人员,公司相关领导、相关部门负责人和专职、农电公司相关 负责人和专职,报告,公司领导,视情况而定，协同办公系统,内部资料
37,重要会议及重大活动保电方案,工作秘密,3个月,营销部,相关工作人员,公司相关领导、涉及部门负责人和专职。,保电方案,公司内部,视情况而定，营销业务系统,内部事项·3个月
38,公司输变电工程造价分析报告,工作秘密,公布之日,建设部,相关工作人员,建设部主任、技经人员,造价分析报告,省公司,一年一次、表格寄送,内部资料
39,各类输变电工程概算书、结算报告,工作秘密,3年,建设部,相关工作人员,建设部主任、技经人员,概算书、结算报告,省公司,一年一次、表格寄送,内部资料·3年
40,公司内审要情专报、重大审计事项报告、经济责任审计中的专题报告、 依法治企自查报告，风险提示报告、 管理建议书，以及公司领导交办的专项审计调查报告等,工作秘密,视具体情况确定,审计部,公司负责人、 相关部门负责人及相关工作人员,审计部主任、审计专职,审计报告、审计签报（审计专报）、审计意见、管理建议书、风险提示报告、重大审计事项报告,视情况而定，公司领导、专业管理部门、被审单位、省公司,视情况而定，协同办公系统,内部资料
41,上报省公司、省公司批复的公司领导成员薪酬方案,核心商密,5年,人资部,公司负责人和相关人员,人资部主任、薪酬管理专职,方案材料,省公司,每年，纸质,核心商密·5年
42,人力资源管理统计年报、下达各单位的人工成本和工作总额计划、薪酬调整方案,普通商密,5年,人资部,公司负责人和相关人员,人资部主任、薪酬管理专职,劳动统计报表,省公司,"每月，国网管控系统
每年集中管控系统和纸质",普通商密·5年
43,领导班子考察报告，后备干部考察情况，干部考察材料,工作秘密,视具体情况确定,人资部,公司负责人和相关人员,人资部主任、干部管理专职、人资部参与考察的相关专职,领导班子考察报告、干部考察材料、后备干部名册,公司领导,视情况而定,内部资料
44,尚未公布的公司干部任免、调配方案,工作秘密,公布之日,人资部,公司负责人和相关人员,人资部主任、干部管理专职,干部调整建议方案,公司领导,视情况而定,内部资料
45,干部基本信息及有关报告事项材料等,工作秘密,视具体情况确定,人资部,公司负责人和相关人员,人资部主任、干部管理专职,干部个人基本情况、正科级干部个人有关事项报告,省公司,视情况而定，领导干部个人有关事项报告系统,内部资料
46,人事档案,工作秘密,长期,人资部,相关工作人员,人资部主任、专职,《江苏省电力公司人事档案管理办法》及相关材料,无,无,内部资料
47,公司定员资料,工作秘密,3年,人资部,相关工作人员,人资部分管主任、劳动组织管理专职,劳动定员测算结果和劳动定员台账,省公司,每年，定员管理信息系统,内部资料·3年
48,员工薪酬、保险数据，福利计划及福利计划月度、年度报表,工作秘密,长期,人资部,相关工作人员,人资部主任、福利保障管理专职,福利报表,省公司,"每月，国网管控系统
每年集中管控系统和纸质",内部资料
49,员工个人信息(身份证号码、工资奖金卡帐号等）,工作秘密,长期,人资部,相关工作人员,人资部主任、薪酬管理专职、财务资金管理,工资、奖金发放表,财务,每月发放工资奖金时，系统流转,内部资料
50,舆情管理工作手册,工作秘密,5年,党群部,相关工作人员,党群部主任、新闻舆情管理专职,手册,省公司,视情况而定，协同办公系统,内部资料·5年
51,泰州公司舆情管理本部协同工作办法,工作秘密,5年,党群部,相关工作人员,党群部主任、新闻舆情管理专职,文件,省公司、县公司,视情况而定，协同办公系统,内部事项·5年
52,新闻应急管理规定,工作秘密,5年,党群部,相关工作人员,党群部主任、新闻舆情管理专职,文件,省公司，公司系统各单位,视情况而定，协同办公系统,内部事项·5年
53,检举、控告本单位副科级（含）以上领导干部重大问题的事项,工作秘密,视具体情况确定,监察部,公司主要负责人、纪委书记、公司相关负责人、监察部门领导、信访案件管理及办理人员,公司主要负责人、纪委书记、监察部门领导、信访案件管理及办理人员,上级转办或公司自收的信访投诉举报件,省公司纪委，或泰州市纪委,频率：视情况而定。形式：1、省公司（国网公司纪律审查工作信息管理系统）；2、地方纪委（调查、结案报告及关键佐证材料）,内部事项
54,尚未公布的检察机关或纪检监察部门查处的违法和违纪具体案情及有关情况,工作秘密,公布之日,监察部,公司主要负责人、纪委书记、公司相关负责人、监察部门领导、信访案件管理及办理人员,公司主要负责人、纪委书记、监察部门领导、信访案件管理及办理人员,地方纪检监察机关移交的违纪案件线索，或地方纪检监察机关立案查办的案件信息情况,省公司纪委，或泰州市纪委,频率：视情况而定。形式：1、省公司（国网公司纪律审查工作信息管理系统，以及重要案件进展表）；2、地方纪委（移交案件的后续立案、处理材料，以及纪检机关的监察整改建议书落实情况报告）,内部事项
55,电力二次系统安全防护实施方案,核心商密,长期,调控中心,部门负责人及相关工作人员,自动化管理,电力监控系统安全防护实施方案,省公司,每年/电子文件,核心商密
56,电网计算参数、 电网年度运行方式,普通商密,3年,调控中心,部门负责人及相关工作人员,运行方式管理,泰州电网年度运行方式,省公司,每年报送，书面方式,普通商密·3年
57,电力调度数据网络系统结构与配置,工作秘密,5年,调控中心,部门负责人及相关工作人员,自动化管理,电力调度数据网络拓扑图,省公司,不上报,内部资料·5年
58,电网地理接线图、 电网图集,工作秘密,5年,调控中心,部门负责人及相关工作人员,运行方式管理,泰州电网年度运行方式,省公司,每年报送，书面方式,内部资料·5年
59,公司系统运营监测核心指标和运营数据,普通商密, 视具体情况确定,运监中心、指标提供部门,公司负责人、相关部门负责人及相关工作人员,监测专职,监测报告报告,公司领导以及相关部门人员,视情况而定,普通商密
60,公司系统运营监测分析报告,工作秘密,"公布之日
未公布的3年",运监中心,公司负责人、相关部门负责人及相关工作人员,分析专职,分析报告,公司领导以及相关部门人员,视情况而定,内部资料·3年
61,同业对标简报、分析报告,工作秘密,2年,运监中心,涉及单位的负责人、对标主管部门负责人、相关工作人员、相关专业部门负责人,同业对标专职,分析报告,公司领导以及相关部门人员,视情况而定,内部资料·2年
62,尚未公开的企业技术标准,工作秘密,公布之日,运监中心,相关工作人员,企业管理专职,无,相关工作人员,视情况而定,内部事项
63,生产经营、电网建设、行政办公等项目重要物资及工程集中规模招标评标（审）委员会组建审批手续、评标（审）报告、定标会议纪要,核心商密,3年,物资供应中心,招标领导小组成员、招标工作经办人员、监察工作经办人员,公司分管领导、办公室主任、招投标管理人员、监察部相关人员,招标申请签报、定标签报、评标委员会组成签报,公司领导,视情况而定，协同办公系统,核心商密·3年
64,生产经营、电网建设、行政办公等项目一般物资采购活动评标（审）委员会组建审批手续、评标（审）报告、定标会议纪要,普通商密,3年,物资供应中心,招标领导小组成员、招标工作经办人员、监察工作经办人员,公司分管领导、办公室主任、招投标管理人员、监察部相关人员,招标申请签报、定标签报、评标委员会组成签报,公司领导,视情况而定，协同办公系统,普通商密·3年
65,非工程建设项目非招标方式采购活动评标（审）委员会组建审批手续、评标（审）报告、定标会议纪要,普通商密,1年,物资供应中心,招标领导小组成员、招标工作经办人员、监察工作经办人员,公司分管领导、办公室主任、招投标管理人员、监察部相关人员,招标申请签报、定标签报、评标委员会组成签报,公司领导,视情况而定，协同办公系统,普通商密·1年
66,物资管理月报,工作秘密,1年,物资供应中心,相关工作人员,物资供应中心主任及分管主任、相关专职,物资管理月报,公司各单位及县公司,视情况而定，协同办公系统,内部资料·1年
67,计算机网络与信息、通信系统的安全评估与安全漏洞分析报告、安全性评价报告,核心商密,3年,信通分公司,相关工作人员,信通负责人，信息运检管理专职,报告,省公司,视情况而定，协同办公系统,核心商密·3年
68,网络与信息系统安全防护方案及核心技术内容,核心商密,3年,信通分公司,相关工作人员,信通负责人，信息运检管理专职,方案,公司领导，省公司,视情况而定，协同办公系统,核心商密·3年
69,信息网络拓扑总图（含数据中心（灾备中心）网络拓扑总图）,核心商密,3年,信通分公司,相关工作人员,信通负责人，信息运检管理专职,拓扑图,公司领导，省公司,视情况而定，协同办公系统,核心商密·3年
70,公司网络与信息安全应急预案,普通商密,5年,信通分公司,相关工作人员,信通负责人，信息运检管理专职,方案,公司领导，省公司,视情况而定，协同办公系统,普通商密·5年
71,网络与信息系统管理员账号、口令，后台操作配置手册,普通商密,3年,信通分公司,相关工作人员,信息运检管理专职,账户口令及配置手册,无,,普通商密·3年
72,公司集体产业中长期专项发展规划,核心商密,到期后2年,集体资产运营中心,公司负责人、相关部门负责人及相关工作人员,综合事务管理,文件,公司领导，省公司,视情况而定，协同办公系统,核心商密
73,集体企业产业结构和经济活动调查、统计、分析资料,工作秘密,2年,集体资产运营中心,公司负责人、相关部门负责人及相关工作人员,分管负责人,文件,公司领导，省公司,视情况而定，协同办公系统,内部资料·2年
